timestamp;Temperature;Dew Point;Humidity;Wind;Wind Speed;Wind Gust;Pressure;Condition;Interval Modifier
01.09.2023 00:20;54 °F;54 °F;100 %;SE;7 mph;0 mph;28.20 in;Light Drizzle;1,296296296
01.09.2023 00:50;54 °F;54 °F;100 %;SSE;7 mph;0 mph;28.20 in;Light Drizzle;1,296296296
01.09.2023 01:20;54 °F;54 °F;100 %;SE;8 mph;0 mph;28.17 in;Light Drizzle;1,296296296
01.09.2023 01:50;54 °F;54 °F;100 %;SE;7 mph;0 mph;28.17 in;Light Rain;1,296296296
01.09.2023 02:20;54 °F;54 °F;100 %;SE;7 mph;0 mph;28.17 in;Light Drizzle;1,296296296
01.09.2023 02:50;54 °F;54 °F;100 %;SE;7 mph;0 mph;28.17 in;Mist;1,296296296
01.09.2023 03:20;54 °F;54 °F;100 %;SE;7 mph;0 mph;28.17 in;Mist;1,296296296
01.09.2023 03:50;54 °F;54 °F;100 %;SSE;6 mph;0 mph;28.17 in;Mist;1,296296296
01.09.2023 04:20;55 °F;55 °F;100 %;SSW;5 mph;0 mph;28.17 in;Light Drizzle;1,272727273
01.09.2023 04:50;55 °F;55 °F;100 %;W;8 mph;0 mph;28.17 in;Fog;1,272727273
01.09.2023 05:20;55 °F;55 °F;100 %;W;9 mph;0 mph;28.17 in;Mist;1,272727273
01.09.2023 05:50;57 °F;57 °F;100 %;W;8 mph;0 mph;28.17 in;Mist;1,228070175
01.09.2023 06:20;57 °F;57 °F;100 %;WSW;7 mph;0 mph;28.17 in;Mist;1,228070175
01.09.2023 06:50;57 °F;57 °F;100 %;WSW;6 mph;0 mph;28.17 in;Light Rain;1,228070175
01.09.2023 07:20;57 °F;57 °F;100 %;SW;5 mph;0 mph;28.17 in;Mostly Cloudy;1,228070175
01.09.2023 07:50;59 °F;59 °F;100 %;SW;7 mph;0 mph;28.17 in;Mostly Cloudy;1,186440678
01.09.2023 08:20;59 °F;59 °F;100 %;WSW;7 mph;0 mph;28.17 in;Mostly Cloudy;1,186440678
01.09.2023 08:50;61 °F;61 °F;100 %;WSW;10 mph;0 mph;28.17 in;Mostly Cloudy;1,147540984
01.09.2023 09:20;61 °F;59 °F;94 %;WSW;13 mph;0 mph;28.20 in;Mostly Cloudy;1,147540984
01.09.2023 09:50;61 °F;59 °F;94 %;WSW;9 mph;0 mph;28.20 in;Mostly Cloudy;1,147540984
01.09.2023 10:20;61 °F;59 °F;94 %;WSW;9 mph;0 mph;28.20 in;Mostly Cloudy;1,147540984
01.09.2023 10:50;61 °F;61 °F;100 %;SW;7 mph;0 mph;28.20 in;Mostly Cloudy;1,147540984
01.09.2023 11:20;63 °F;61 °F;94 %;SW;8 mph;0 mph;28.20 in;Showers in the Vicinity;1,111111111
01.09.2023 11:50;63 °F;61 °F;94 %;SW;9 mph;0 mph;28.20 in;Mostly Cloudy;1,111111111
01.09.2023 12:20;63 °F;61 °F;94 %;SW;14 mph;0 mph;28.20 in;Mostly Cloudy;1,111111111
01.09.2023 12:50;63 °F;61 °F;94 %;WSW;17 mph;0 mph;28.20 in;Light Drizzle;1,111111111
01.09.2023 13:20;63 °F;61 °F;94 %;WSW;16 mph;31 mph;28.20 in;Mostly Cloudy;1,111111111
01.09.2023 13:50;63 °F;59 °F;88 %;WSW;16 mph;0 mph;28.20 in;Mostly Cloudy;1,111111111
01.09.2023 14:20;63 °F;59 °F;88 %;W;16 mph;0 mph;28.23 in;Mostly Cloudy;1,111111111
01.09.2023 14:50;61 °F;61 °F;100 %;WSW;13 mph;0 mph;28.23 in;Light Drizzle;1,147540984
01.09.2023 15:20;61 °F;61 °F;100 %;WSW;10 mph;0 mph;28.23 in;Mostly Cloudy;1,147540984
01.09.2023 15:50;63 °F;61 °F;94 %;WSW;14 mph;0 mph;28.23 in;Light Rain;1,111111111
01.09.2023 16:20;63 °F;61 °F;94 %;WSW;13 mph;0 mph;28.23 in;Mostly Cloudy;1,111111111
01.09.2023 16:50;63 °F;61 °F;94 %;WSW;13 mph;0 mph;28.23 in;Partly Cloudy;1,111111111
01.09.2023 17:20;63 °F;61 °F;94 %;WSW;15 mph;0 mph;28.23 in;Mostly Cloudy;1,111111111
01.09.2023 17:50;63 °F;61 °F;94 %;WSW;12 mph;0 mph;28.23 in;Mostly Cloudy;1,111111111
01.09.2023 18:20;63 °F;61 °F;94 %;W;9 mph;0 mph;28.23 in;Partly Cloudy;1,111111111
01.09.2023 18:50;63 °F;61 °F;94 %;W;12 mph;0 mph;28.23 in;Partly Cloudy;1,111111111
01.09.2023 19:20;63 °F;61 °F;94 %;W;10 mph;0 mph;28.25 in;Fair;1,111111111
01.09.2023 19:50;61 °F;61 °F;100 %;W;8 mph;0 mph;28.25 in;Showers in the Vicinity;1,147540984
01.09.2023 20:20;61 °F;61 °F;100 %;W;7 mph;0 mph;28.25 in;Showers in the Vicinity;1,147540984
01.09.2023 20:50;61 °F;59 °F;94 %;W;10 mph;0 mph;28.28 in;Showers in the Vicinity;1,147540984
01.09.2023 21:20;59 °F;59 °F;100 %;WNW;5 mph;0 mph;28.28 in;Showers in the Vicinity;1,186440678
01.09.2023 21:50;59 °F;59 °F;100 %;WNW;3 mph;0 mph;28.28 in;Showers in the Vicinity;1,186440678
01.09.2023 22:20;59 °F;59 °F;100 %;VAR;1 mph;0 mph;28.31 in;Showers in the Vicinity;1,186440678
01.09.2023 22:50;59 °F;59 °F;100 %;WSW;2 mph;0 mph;28.31 in;Partly Cloudy;1,186440678
01.09.2023 23:20;59 °F;59 °F;100 %;W;5 mph;0 mph;28.31 in;Partly Cloudy;1,186440678
01.09.2023 23:50;59 °F;59 °F;100 %;S;3 mph;0 mph;28.31 in;;1,186440678
02.09.2023 00:20;57 °F;57 °F;100 %;SSW;3 mph;0 mph;28.31 in;Patches of Fog;1,228070175
02.09.2023 00:50;57 °F;57 °F;100 %;S;3 mph;0 mph;28.31 in;Fair;1,228070175
02.09.2023 01:20;57 °F;57 °F;100 %;VAR;1 mph;0 mph;28.31 in;Fair;1,228070175
